Keyword,Competition,Global Monthly Searches,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10,Jun-10,May-10,Apr-10,Mar-10,Feb-10,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
new york hotel,0.67,2240000,-,673000,823000,823000,823000,823000,823000,823000,823000,823000,823000,673000,-,-,$2.47 ,-,823000
peninsula new york,0.62,14800,-,8100,8100,6600,8100,8100,8100,8100,8100,8100,8100,9900,-,-,$1.10 ,-,8100
night hotel new york,0.77,6600,-,1900,2400,2400,2400,1900,2400,2400,2400,2400,2900,2900,-,-,$2.05 ,-,2400
hotels in new york,0.87,673000,-,301000,368000,368000,368000,368000,368000,368000,368000,368000,368000,301000,-,-,$3.47 ,-,368000
visit new york,0.54,33100,-,18100,18100,18100,22200,22200,22200,22200,22200,18100,22200,14800,-,-,$1.35 ,-,18100
hotels manhattan new york,0.9,74000,-,18100,18100,18100,22200,22200,22200,22200,22200,22200,22200,18100,-,-,$3.24 ,-,22200
new york pictures,0.32,110000,-,74000,74000,74000,74000,49500,49500,60500,74000,74000,74000,60500,-,-,$0.58 ,-,74000
the roosevelt hotel new york,0.7,6600,-,2900,3600,3600,3600,2900,2900,2900,2900,1900,2400,1900,-,-,$2.86 ,-,2900
the london new york,0.34,9900,-,4400,4400,4400,4400,4400,3600,3600,3600,4400,4400,3600,-,-,$3.29 ,-,4400
roosevelt hotel new york,0.75,40500,-,12100,14800,18100,18100,14800,14800,14800,14800,12100,12100,9900,-,-,$5.07 ,-,14800
new york city,0.37,5000000,-,4090000,4090000,4090000,3350000,3350000,3350000,3350000,4090000,4090000,4090000,3350000,-,-,$1.51 ,-,4090000
skyline hotel new york,0.77,12100,-,2400,3600,2900,3600,2900,2900,3600,3600,3600,3600,1900,-,-,$1.45 ,-,2900
wellington hotel new york,0.85,33100,-,5400,9900,8100,8100,6600,8100,6600,8100,8100,9900,5400,-,-,$5.03 ,-,8100
edison hotel new york,0.87,33100,-,6600,9900,8100,8100,8100,8100,8100,8100,6600,8100,6600,-,-,$2.01 ,-,8100
